City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,constantia,44.1833,28.65,283.54,84,25,4.26,RO,1701478797
136,aguada de pasajeros,22.385,-80.8508,298.36,78,100,1.45,CU,1701479464
137,esuk oron,4.8029,8.2534,298.35,90,88,1.82,NG,1701479465
138,sitka,57.0531,-135.33,280.09,57,75,7.72,US,1701479026
139,sanctuary point,-35.1114,150.629,296.47,77,100,3.47,AU,1701479465
140,waverly,42.7392,-84.6208,277.24,94,100,3.09,US,1701479465
141,yuanping,38.7153,112.7575,269.45,21,0,1.03,CN,1701479330
142,ancud,-41.8697,-73.8203,280.98,77,100,4.89,CL,1701479087
143,cromwell,41.5951,-72.6454,282.16,93,100,0.0,US,1701479181
144,nar'yan-mar,67.6713,53.087,266.54,96,100,2.24,RU,1701479056
145,ciudad del este,-25.5167,-54.6167,300.56,89,0,5.14,PY,1701479467
146,yuxia,34.0615,108.6291,278.89,32,0,0.9,CN,1701479467
147,muisne,0.6,-80.0333,298.23,84,100,4.21,EC,1701479023
148,mount gambier,-37.8333,140.7667,290.76,58,100,4.87,AU,1701479070
149,chokwe,-24.5333,32.9833,290.41,77,0,1.31,MZ,1701479468
150,timimoun,29.2639,0.231,290.9,12,100,3.78,DZ,1701479469
151,wailua homesteads,22.0669,-159.378,299.39,87,0,3.6,US,1701479022
152,katsuura,35.1333,140.3,284.53,50,7,3.6,JP,1701479078
153,alice springs,-23.7,133.8833,301.9,34,0,5.14,AU,1701479470
154,san pedro,14.35,121.0167,303.88,71,49,4.47,PH,1701479470
155,konarka,19.9,86.1167,292.37,65,72,4.36,IN,1701479470
156,siwa oasis,29.2041,25.5195,288.4,49,0,2.32,EG,1701479471
157,weno,7.4515,151.8468,301.89,73,21,7.9,FM,1701479114
158,kermanshah,34.3142,47.065,280.29,32,0,0.58,IR,1701479471
159,alofi,-19.0595,-169.9187,303.09,66,75,5.14,NU,1701479472
160,lihue,21.9789,-159.3672,297.45,84,94,2.85,US,1701478860
161,berezovo,63.9381,65.0419,250.17,100,99,2.49,RU,1701479066
162,funafuti,-8.5243,179.1942,301.15,83,75,0.0,TV,1701479473
163,fuli,46.7217,131.1394,261.84,86,100,2.93,CN,1701479473
164,ust'-ilimsk,58.0006,102.6619,265.62,94,100,2.68,RU,1701479474
165,orosei,40.3798,9.6929,291.64,55,91,3.6,IT,1701479474
